source_id,ra,dec,parallax,classification,phot_variable_fundam_freq1,mean,peak_to_peak_g,num_harmonics_for_p1,r21_g,phi21_g,best_classification
4656702360931582080,68.21558945247423,-66.77273043393483,,RRLYR,1.7638427158803185,19.246315482683656,0.917244589413972,3,0.5305018663544707,4.012854434107503,RRAB
4656714936595899008,67.73249799190361,-66.71002107766664,,RRLYR,3.2746480203135504,19.1661901205622,0.4907845847589627,2,0.16080692978645167,4.579560947145952,RRC
4656716414064729984,67.93386426091935,-66.6034075621805,,RRLYR,1.8483699441750445,19.35677662894803,1.033296607052403,4,0.6044546154589692,3.996910695511012,RRAB
4656720846471011200,67.63894842159911,-66.5196238742922,,RRLYR,2.915671848264129,19.098241592252563,0.4690012690955889,2,0.10795339716239703,4.350372212297877,RRC
4658879737581295744,81.11142467322018,-67.20536835118044,,RRLYR,2.031117366148958,19.225011122417833,0.8663163481335232,3,0.3305507764902009,4.3706629549319995,RRAB
4658882834232119936,80.6354881441672,-67.20995478173354,,RRLYR,1.7946151441295082,19.458769236927864,0.8493500545586308,3,0.4124680823242498,4.158671485241278,RRAB
4658882868591839488,80.61711929058265,-67.19127560503779,,RRLYR,1.7148278768569303,19.471053238161367,0.9001995684510611,3,0.47792100339697846,4.348945930640745,RRAB
4658883654582897920,80.90447799332182,-67.17819951065826,,RRLYR,1.9109642706367709,19.071433086944346,1.0067243615341432,2,0.42862747546700825,4.0933642889161135,RRAB
4658883865024780288,80.88857489217115,-67.14850056044841,,RRLYR,1.6549605883701661,19.453772252149793,0.8632838611758196,3,0.4417054579332225,3.9814957538810276,RRAB
4658884380421017984,80.96038961138737,-67.10382236282022,,RRLYR,1.8190084593702993,19.788511182615657,0.9539856112995686,2,0.31680455099091936,4.112787501313697,RRAB
4658885445572591616,80.78546039400632,-67.07057317234917,,RRLYR,1.5645515589132424,19.239427908282842,0.3422368724274101,3,0.36127319525990653,4.321707751203853,RRAB
4658887988195764864,80.22506772617474,-67.22002225321592,,RRLYR,1.7504196932922338,19.338524681702257,0.816476070587548,4,0.5980952270549852,4.011491885207526,RRAB
4658891870845705600,79.89095103949269,-67.15773101873995,,RRLYR,1.699785975493877,19.129815417856936,0.6981863935631338,4,0.4669937932775402,3.9715397936332053,RRAB
4658892214443139968,79.93417737300028,-67.14840491042406,,RRLYR,1.7365732412619197,19.351173433480298,0.883709508241008,3,0.3414087255166111,3.4522196796143803,RRAB
4658892622455949312,80.19721637914839,-67.13620802986775,,RRLYR,1.8086411231851591,19.14751702906067,0.9367780862419828,4,0.4807589101903325,3.820587069825187,RRAB
4658893142156536960,80.21859376975868,-67.11034953157868,,RRLYR,1.85974232524654,19.55268797438841,1.0331185622762824,5,0.4387450067108154,3.8621664767724653,RRAB
4658896509413320320,80.3673080354849,-67.05029819411291,,RRLYR,2.528221963650724,19.102582833547668,0.4111117710638865,1,,,RRC
4658897986882216192,80.43749826806155,-67.03058567948483,,RRLYR,1.62537963489061,19.143412408711377,0.7900938218787843,4,0.5577502566668856,4.160892161860936,RRAB
4658898811515791232,80.35025392874545,-66.95105644491547,,RRLYR,1.6095037425218062,19.427304407731473,0.4368554962422664,3,0.45545795043785997,4.308085054048512,RRAB
