source_id,pf,pf_error,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,radius_gspphot,ew_espels_halpha,spectraltype_esphs
4658970245439073664,2.907459925905621,2.3494018E-5,6013.9497,4.1043,-1.4126,2623.5366,0.6253,1.5583,0.2376775,F
4658970726475403264,3.6358879560543724,1.6963942E-5,6747.6763,3.9858,-0.1284,3421.9497,0.6398,2.018,0.10952186,F
4658978457388299136,4.675723434377226,2.500451E-4,5656.844,3.393,-0.6091,4538.4575,0.3829,4.0401,0.06719519,F
4658983783147768576,4.750525439035295,2.3254172E-5,,,,,,,0.1638981,F
4658984229824339072,5.042959355937852,1.4496571E-4,5861.7373,3.5759,-0.4893,3641.8374,0.171,3.1041,0.14340205,F
4658998386036208640,2.303009265511445,1.8081546E-5,5706.8164,3.7864,-1.0124,3550.3625,0.1927,1.9021,0.29967144,G
4659005910818874880,2.8935328604957484,7.696736E-5,5503.0073,3.6853,-0.9211,3384.6172,0.0995,2.1452,-0.06994072,G
4659023090689530112,4.784805979584535,5.2048017E-5,,,,,,,0.11433656,F
4659028760046275968,2.457411509834842,3.475661E-5,6327.2456,4.0892,-0.087,3343.888,0.2997,1.6269,0.049787533,F
4659050715920037760,2.917170498611394,6.725446E-5,5587.9277,4.1163,0.0727,2423.246,0.8055,1.4139,-0.080271155,A
4659062570029765376,3.3857377227265606,5.148838E-5,,,,,,,0.066968046,F
4659092463003562368,4.835821634183126,5.893725E-5,5792.681,3.3741,-0.6992,4615.5776,0.3991,4.1737,0.18360795,F
4659124623720077952,1.0482066429526489,1.5021207E-5,,,,,,,,
4659145304002006144,4.4392792693616006,1.7875111E-4,5304.3164,3.403,-0.8892,3424.0225,0.1598,3.0086,0.14927691,F
4659157505990660608,4.775339748833288,4.8483857E-5,5849.5474,3.69,-0.0167,3583.3489,0.3327,2.8346,0.10325754,F
4659172967872776704,3.0082261401506276,3.0938005E-5,6012.4707,3.8348,-0.9005,2934.9573,0.4569,1.9091,0.14090185,G
4659176025889831296,1.578835003122399,3.2302774E-5,6079.7397,4.2814,-0.7401,2804.3186,0.1919,1.0698,0.06477996,F
4659178809028714880,2.444181974266456,7.4144555E-5,5927.1606,3.8865,-0.8373,3208.2803,0.0059,1.7512,0.12325681,F
4659184547104520576,2.875432678610578,1.2685328E-4,,,,,,,0.1776784,F
4659189391829422592,4.173228452384405,2.0485933E-4,5272.5664,3.4004,-0.7929,3498.6807,0.0733,3.0468,0.24441935,F
4659190113383914112,4.351700173989559,2.949872E-4,5498.8916,3.5145,-1.0968,3250.7825,0.2463,2.7004,0.16568273,F
4659202311090827008,4.1238799217541535,8.149051E-5,5296.0645,3.5094,-0.7593,3303.1843,0.0856,2.6968,0.03292697,G
4659206773546904576,2.7551231363951767,1.3302804E-4,5410.071,4.7318,-1.7162,2198.0132,0.0046,0.5701,,
4659216432943094272,2.673066609546186,2.5622387E-5,5535.127,4.0941,-0.3665,3205.6536,0.0093,1.7891,0.14234951,F
4659218769405948160,4.938458618741543,1.4369153E-4,5385.4253,3.2426,-1.3482,4074.126,0.1616,3.5647,0.055395387,A
4659220384315198208,2.987980603463216,3.5314943E-4,6319.4004,3.7511,-0.1467,3706.386,0.3788,2.6999,0.055257406,F
4659225366477837440,2.9419435816212913,6.3969324E-5,5663.817,3.7952,-0.6849,3175.893,0.195,1.9905,-0.044156946,F
